epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,656.984,1.87037,1.30949,0.84855,0.91323,0.79412,0.87271,0.46198,1.62061,0.77747,0.81358,0.0007724,0.0007724,0.0007724
64,663.753,1.93088,1.38711,0.85926,1,0.78883,0.87377,0.48256,1.65664,0.78713,0.81382,0.0007526,0.0007526,0.0007526
65,670.619,1.85228,1.37691,0.85485,1,0.7595,0.83578,0.41586,1.99802,0.83182,0.82421,0.0007328,0.0007328,0.0007328
66,676.648,1.84661,1.25651,0.84927,0.96383,0.78404,0.82607,0.43507,1.78117,0.79743,0.81442,0.000713,0.000713,0.000713
67,682.721,1.76336,1.18307,0.84308,0.96352,0.79412,0.84284,0.45275,1.74858,0.81479,0.81222,0.0006932,0.0006932,0.0006932
68,688.642,1.66384,1.10607,0.82696,0.96411,0.79017,0.83955,0.45354,1.65028,0.85937,0.81272,0.0006734,0.0006734,0.0006734
69,694.604,1.86978,1.34087,0.85271,0.96427,0.79383,0.84068,0.47171,1.56061,0.85333,0.8139,0.0006536,0.0006536,0.0006536
70,700.723,1.72615,1.25026,0.85559,0.96398,0.78726,0.82458,0.48273,1.62447,0.85401,0.82007,0.0006338,0.0006338,0.0006338
71,707.373,1.73877,1.38954,0.80488,0.94548,0.73529,0.79331,0.48286,1.60664,0.87724,0.81642,0.000614,0.000614,0.000614
72,713.836,1.62259,1.15868,0.81287,1,0.81765,0.87279,0.45337,1.58465,0.87995,0.81342,0.0005942,0.0005942,0.0005942
73,720.223,1.6832,1.15427,0.82877,0.99468,0.79412,0.87653,0.47331,1.58728,0.85352,0.81577,0.0005744,0.0005744,0.0005744
74,726.191,1.76398,1.18495,0.84666,0.95916,0.76471,0.86631,0.48986,1.57077,0.84472,0.8067,0.0005546,0.0005546,0.0005546
75,732.449,1.57807,1.0841,0.81488,0.93045,0.78713,0.87025,0.48582,1.5791,0.78187,0.80639,0.0005348,0.0005348,0.0005348
76,738.684,1.71724,1.13485,0.83622,0.9653,0.81845,0.88203,0.49728,1.60033,0.71033,0.81132,0.000515,0.000515,0.000515
77,744.696,1.69798,1.12699,0.81175,0.96516,0.82353,0.887,0.50283,1.57452,0.68609,0.81125,0.0004952,0.0004952,0.0004952
78,751.022,1.71635,1.13772,0.83452,0.96057,0.82353,0.88079,0.51284,1.52685,0.69963,0.80906,0.0004754,0.0004754,0.0004754
79,757.479,1.66983,1.07856,0.78969,0.95955,0.82353,0.87844,0.50335,1.5788,0.69591,0.81025,0.0004556,0.0004556,0.0004556
80,764.236,1.69654,1.08492,0.82504,1,0.79341,0.85483,0.4864,1.64186,0.71711,0.80799,0.0004358,0.0004358,0.0004358
81,770.796,1.7009,1.12908,0.8353,0.96346,0.82353,0.89042,0.50376,1.49224,0.69754,0.79619,0.000416,0.000416,0.000416
82,777.374,1.62078,1.03754,0.82362,0.96287,0.82353,0.90426,0.49807,1.55289,0.71181,0.79384,0.0003962,0.0003962,0.0003962
83,783.719,1.72271,1.03004,0.81953,0.96369,0.82353,0.90292,0.49639,1.58575,0.72475,0.79557,0.0003764,0.0003764,0.0003764
84,789.924,1.60846,1.03074,0.83508,0.96242,0.82353,0.90004,0.5067,1.50876,0.706,0.79584,0.0003566,0.0003566,0.0003566
85,796.167,1.69453,1.03222,0.83054,0.96298,0.82353,0.891,0.50787,1.42232,0.69601,0.79755,0.0003368,0.0003368,0.0003368
86,802.076,1.63725,0.99775,0.84963,0.96649,0.84831,0.8985,0.51039,1.56981,0.67947,0.80134,0.000317,0.000317,0.000317
87,807.9,1.42303,0.95033,0.79319,0.96285,0.85294,0.89138,0.4868,1.68999,0.69929,0.80675,0.0002972,0.0002972,0.0002972
88,814.214,1.68649,1.17788,0.82995,0.96415,0.85294,0.88898,0.47373,1.8083,0.7245,0.80963,0.0002774,0.0002774,0.0002774
89,820.738,1.54814,0.92722,0.81908,0.96633,0.84424,0.88798,0.48625,1.80958,0.72984,0.80794,0.0002576,0.0002576,0.0002576
90,827.293,1.50695,0.98585,0.81482,0.96301,0.82353,0.88552,0.50305,1.72176,0.71849,0.80431,0.0002378,0.0002378,0.0002378
91,833.34,1.52108,1.02738,0.84785,0.96535,0.81942,0.88307,0.50238,1.73545,0.74244,0.80247,0.000218,0.000218,0.000218
92,839.387,1.40243,1.0917,0.8216,0.96411,0.7902,0.87265,0.49457,1.70874,0.77202,0.80272,0.0001982,0.0001982,0.0001982
93,845.535,1.52749,1.09486,0.81319,0.96411,0.79026,0.87458,0.5037,1.73795,0.7678,0.80345,0.0001784,0.0001784,0.0001784
94,851.651,1.40108,1.01237,0.81183,0.9641,0.78999,0.88764,0.50225,1.71077,0.74898,0.8037,0.0001586,0.0001586,0.0001586
95,857.432,1.44593,1.07814,0.81345,0.96459,0.80131,0.89538,0.49117,1.74754,0.74506,0.80465,0.0001388,0.0001388,0.0001388
96,863.507,1.35338,1.00233,0.78378,0.96482,0.80685,0.89125,0.49232,1.72018,0.72921,0.80366,0.000119,0.000119,0.000119
97,869.533,1.62386,1.09277,0.87312,0.96502,0.81163,0.89246,0.48446,1.69956,0.72626,0.80309,9.92e-05,9.92e-05,9.92e-05
98,875.671,1.36551,0.95878,0.83256,0.96523,0.81656,0.89245,0.48339,1.69184,0.71352,0.80385,7.94e-05,7.94e-05,7.94e-05
99,881.831,1.50898,1.04052,0.81865,0.95767,0.82353,0.89223,0.49052,1.67628,0.71591,0.80242,5.96e-05,5.96e-05,5.96e-05
100,888.396,1.6076,1.04419,0.87808,0.96146,0.82353,0.88854,0.48881,1.69686,0.71499,0.80226,3.98e-05,3.98e-05,3.98e-05
